name;age;sex;marital-status;occupation;coord
Allen Winters;30;Male;Married-civ-spouse;Exec-managerial;50.81659::3.28285
Kimberly Wilson;25;Female;Never-married;Adm-clerical;51.16117::4.04316
Michelle Graham;23;Female;Never-married;Other-service;51.22027::4.42347
George Thompson;40;Male;Married-civ-spouse;Prof-specialty;51.21328::3.27952
Robert Walker;26;Male;Never-married;Adm-clerical;51.02985::4.08033
Andrew Porter;57;Male;Married-civ-spouse;Craft-repair;50.89961::4.31788
Mark Nash;36;Male;Married-civ-spouse;Exec-managerial;50.44805::3.85423
Jason Salinas;49;Male;Divorced;Prof-specialty;51.30084::5.02197
Randall Wilkerson;58;Male;Married-civ-spouse;Craft-repair;50.65109::5.56351
Nicholas Cox;32;Male;Divorced;Exec-managerial;50.93689::4.12853
William Smith;59;Male;Married-civ-spouse;Adm-clerical;51.01266::3.96840
Paula Zamora;42;Female;Never-married;Adm-clerical;50.52078::4.18891
Lawrence Williams;37;Male;Married-civ-spouse;Exec-managerial;51.19294::5.40432
William Hunt;40;Male;Married-civ-spouse;Prof-specialty;51.23535::3.21150
Christopher Garcia;47;Male;Married-civ-spouse;Transport-moving;51.20639::4.45630
Alexander Johnston;56;Male;Married-civ-spouse;Prof-specialty;50.96662::4.37921
Robin Tran;30;Female;Never-married;Adm-clerical;50.90025::4.36174
Lauren Smith;42;Female;Widowed;Exec-managerial;50.81253::5.18755
Paul Cook;21;Male;Never-married;Other-service;50.40844::3.85406
Lauren Chen;21;Female;Married-spouse-absent;Machine-op-inspct;50.52770::3.64132
Maria Young;47;Female;Married-civ-spouse;Tech-support;50.00288::5.72106
Daniel Baxter;22;Male;Never-married;Farming-fishing;50.58296::4.44999
Shannon Ali;35;Female;Never-married;Adm-clerical;50.55158::3.53561
Monica Wilkins;41;Female;Never-married;Handlers-cleaners;50.85222::4.37533
Thomas Garcia;43;Male;Married-civ-spouse;Handlers-cleaners;51.02110::3.71873
Jason Garcia;60;Male;Married-civ-spouse;Sales;50.94680::3.10745
Anthony Gaines;73;Male;Married-civ-spouse;Sales;50.48344::4.55804
Gina Beard;90;Female;Married-civ-spouse;Exec-managerial;51.35760::4.76155
Kevin Robles;62;Male;Married-civ-spouse;Adm-clerical;50.66500::4.58816
Alex Ballard;28;Male;Married-civ-spouse;Craft-repair;50.62091::3.76506
Justin Lopez;45;Male;Married-civ-spouse;Craft-repair;51.04483::5.62475
Jeffery Norris;19;Male;Never-married;Sales;51.04723::4.48334
Michael Boone;30;Male;Never-married;Craft-repair;50.93746::5.29460
April Holder;19;Female;Never-married;Handlers-cleaners;51.45853::4.44011
Derek Allen;23;Male;Never-married;Other-service;50.83285::4.31446
Lucas Barnett;22;Male;Never-married;Prof-specialty;51.27741::4.70856
Tina Osborne;19;Female;Never-married;Adm-clerical;51.05099::4.63264
Kenneth Page;45;Male;Divorced;Adm-clerical;51.18450::2.80667
Sarah Lopez;26;Female;Never-married;Other-service;51.04640::4.09472
Mr. Willie Nguyen;42;Male;Married-civ-spouse;Handlers-cleaners;51.28971::4.17343
Manuel Maxwell;62;Male;Married-civ-spouse;Farming-fishing;50.85460::4.07248
Ryan Ray;61;Male;Married-civ-spouse;Sales;51.10088::3.67370
Angel Ramirez;34;Male;Divorced;Sales;50.89992::3.97801
Dana Hill;22;Female;Never-married;Other-service;50.89453::3.45427
John Smith;56;Male;Married-civ-spouse;Prof-specialty;51.18580::4.58298
Bryan Williams;32;Male;Married-civ-spouse;Prof-specialty;51.03697::4.36582
Christopher Larson;26;Male;Divorced;Craft-repair;51.23861::4.57962
Kristin Ray;32;Female;Never-married;Sales;50.72004::6.01688
Jason Garcia;58;Male;Divorced;Adm-clerical;50.56439::5.72461
Carmen Allen;25;Female;Married-civ-spouse;Adm-clerical;50.87962::4.68991
Anita Case;23;Female;Never-married;Adm-clerical;50.60565::4.15825
Darren Hardy;23;Male;Married-civ-spouse;Tech-support;51.13731::2.70971
Joseph Lopez;54;Male;Married-civ-spouse;Adm-clerical;51.03286::4.19417
Cynthia Lee;28;Female;Never-married;Exec-managerial;50.87478::4.32462
Scott Jones;35;Male;Married-civ-spouse;Sales;50.49065::4.22622
Brian Rubio;30;Male;Married-civ-spouse;Prof-specialty;50.92079::4.31569
Scott Shelton;23;Male;Married-civ-spouse;Craft-repair;51.22974::2.94516
John Joyce;42;Male;Married-civ-spouse;Tech-support;51.05330::5.33296
Doris Kirby;72;Female;Widowed;Adm-clerical;51.09040::3.72698
Troy Brown;21;Male;Married-civ-spouse;Machine-op-inspct;51.13491::4.56774
Chad Mejia;37;Male;Never-married;Craft-repair;50.81498::4.43297
Kristina Young;54;Female;Divorced;Other-service;50.97781::3.43869
Alexandra Rowe;58;Female;Divorced;Adm-clerical;50.40955::4.45558
Shane Rich;32;Male;Never-married;Prof-specialty;51.13221::4.45302
Michaela Brown;65;Female;Widowed;Adm-clerical;51.26432::3.02905
Jennifer Smith;65;Female;Widowed;Sales;50.93037::2.87464
Tara Brown;33;Female;Never-married;Other-service;50.87052::3.14411
Sean Peters;35;Male;Never-married;Machine-op-inspct;51.18243::5.11158
Haley Crosby;27;Female;Never-married;Adm-clerical;51.18171::4.37439
Aaron Castillo;34;Male;Never-married;Other-service;51.18396::4.37641
Tim Werner;53;Male;Married-civ-spouse;Sales;50.88056::4.06176
Jason Palmer;23;Male;Married-civ-spouse;Craft-repair;50.68008::5.54716
Tammy Jackson;43;Female;Separated;Prof-specialty;50.57290::5.55382
Gregory Powell;58;Male;Married-civ-spouse;Exec-managerial;50.47972::4.19231
Gabriel Saunders;38;Male;Separated;Adm-clerical;50.92494::4.40896
Jesse Hodges;26;Male;Married-civ-spouse;Handlers-cleaners;51.31898::4.96929
Jeffrey Davis;60;Male;Married-civ-spouse;Exec-managerial;50.73254::5.68815
Jason Baker;28;Male;Married-civ-spouse;Machine-op-inspct;51.15552::4.58728
Laura Skinner;33;Female;Never-married;Adm-clerical;51.00971::4.38498
Matthew Miller;29;Male;Married-civ-spouse;Transport-moving;51.14797::4.57671
Dorothy Beltran;54;Female;Never-married;Exec-managerial;50.85026::4.38995
Thomas Velasquez;41;Male;Married-civ-spouse;Farming-fishing;50.87419::5.37052
Samuel Smith;63;Male;Divorced;Exec-managerial;51.15595::5.37730
Jessica Andrews;31;Female;Married-civ-spouse;Adm-clerical;50.82711::5.16803
Emily Perkins;23;Female;Never-married;Sales;50.43165::4.25228
Patrick Burns DVM;41;Male;Married-civ-spouse;Prof-specialty;51.42812::4.46631
Mike Warren;51;Male;Married-civ-spouse;Transport-moving;50.97733::4.63386
John Hill;59;Male;Married-civ-spouse;Craft-repair;49.57461::5.53116
Leslie Taylor;23;Female;Never-married;Prof-specialty;50.67910::5.62404
Scott Owen;24;Male;Never-married;Exec-managerial;51.20354::4.39513
Tanya Montoya;67;Female;Divorced;Prof-specialty;50.67307::4.38557
Alexander Lester;47;Male;Married-civ-spouse;Prof-specialty;50.66771::5.57775
Mark Roberson;21;Male;Never-married;Craft-repair;51.03052::3.80746
Jared Sanders;38;Male;Married-civ-spouse;Farming-fishing;51.18525::4.39128
Margaret Good;55;Female;Divorced;Prof-specialty;51.25009::4.49706
Carolyn Buckley;39;Female;Divorced;Prof-specialty;51.07460::3.70873
Mrs. Alexandria Reyes;24;Female;Separated;Other-service;50.68690::4.27405
Mark Smith;24;Male;Married-civ-spouse;Protective-serv;50.92470::3.20322
Colin Mcdonald;38;Male;Married-civ-spouse;Sales;50.34502::4.86495
Adam Reilly;19;Male;Never-married;Other-service;51.06969::3.68716
Paul Estrada;32;Male;Married-civ-spouse;Craft-repair;50.46006::4.80272
Blake Jones;63;Male;Married-civ-spouse;Exec-managerial;51.21972::3.21723
Tina Anderson;18;Female;Never-married;Sales;51.32852::4.95218
Jose Fleming;36;Male;Married-civ-spouse;Transport-moving;50.64504::5.58695
Isaac Patterson;41;Male;Divorced;Transport-moving;50.44163::3.89710
Paul Hopkins;57;Male;Never-married;Protective-serv;50.92655::5.33582
Michael Andrews;48;Male;Married-civ-spouse;Craft-repair;50.54942::5.31903
Brenda Bailey;44;Female;Divorced;Sales;50.62485::5.58808
William Mason;25;Male;Never-married;Exec-managerial;50.82822::4.40171
Gary Payne;48;Male;Married-civ-spouse;Exec-managerial;50.71584::3.57804
Alison Porter;20;Female;Never-married;Sales;50.81530::3.97968
James Adams;74;Male;Married-civ-spouse;Sales;51.37897::4.45024
Tammy Nelson;44;Female;Never-married;Exec-managerial;50.82494::4.37444
Hayley Ross;26;Female;Married-civ-spouse;Machine-op-inspct;50.96258::4.50463
Gregory Gutierrez;54;Male;Married-civ-spouse;Farming-fishing;51.03432::5.35916
Brent Chavez;39;Male;Married-civ-spouse;Handlers-cleaners;50.84981::4.31547
Ms. Jasmin Ellis;38;Female;Divorced;Adm-clerical;51.18140::4.86741
Lisa Holt;18;Female;Never-married;Other-service;51.02456::4.69533
Glenn Thomas;24;Male;Never-married;Other-service;49.90501::5.38543
Henry Stevens;19;Male;Never-married;Prof-specialty;50.81992::4.41250
Brian Bell;28;Male;Married-civ-spouse;Machine-op-inspct;51.21299::4.39167
Daniel Flores;28;Male;Separated;Handlers-cleaners;51.23297::2.91567
Jesse Jimenez;49;Male;Married-civ-spouse;Craft-repair;50.88130::3.35734
Bryan Nunez;50;Male;Married-civ-spouse;Craft-repair;51.00945::4.66920
Dr. Sarah Williams;63;Female;Widowed;Machine-op-inspct;50.81329::3.05240
Mark Miller;58;Male;Married-civ-spouse;Farming-fishing;50.68941::3.32069
Carrie Jones;68;Female;Widowed;Other-service;50.42600::4.47416
James Best;41;Male;Married-civ-spouse;Exec-managerial;51.34046::3.24361
Kyle Nguyen;27;Male;Married-civ-spouse;Prof-specialty;50.64465::5.65476
Jay Kirby;24;Male;Never-married;Prof-specialty;50.90011::4.05337
Janet Blackburn;50;Female;Divorced;Exec-managerial;50.48061::4.21906
Rita Macias;47;Female;Divorced;Other-service;50.74379::4.32399
Tiffany Montgomery;54;Female;Widowed;Other-service;50.77425::3.51170
Rebecca Mueller;28;Female;Never-married;Adm-clerical;50.85126::4.38162
Kimberly Walker;26;Female;Never-married;Prof-specialty;51.06328::4.27868
Mr. Michael Mccann;35;Male;Separated;Exec-managerial;50.63809::5.56028
Joel Brown;48;Male;Married-civ-spouse;Sales;50.81946::4.93629
Amber Oneill;50;Female;Married-civ-spouse;Sales;50.72014::3.22951
Brittney Miller;39;Female;Divorced;Adm-clerical;51.15081::3.64353
Ryan Williams;46;Male;Never-married;Sales;50.91181::3.21686
Tonya Benitez;41;Female;Widowed;Adm-clerical;50.81537::4.43167
David Abbott;24;Male;Married-civ-spouse;Sales;50.65788::5.65097
Richard Stone;57;Male;Divorced;Craft-repair;50.26717::4.27521
Jason Moreno;32;Male;Never-married;Handlers-cleaners;50.83835::4.43252
Kenneth Curtis;41;Male;Married-civ-spouse;Exec-managerial;50.47366::4.28100
Matthew Morales;55;Male;Married-civ-spouse;Craft-repair;50.70668::5.65480
Kayla Cooke;69;Female;Divorced;Machine-op-inspct;50.86968::4.37728
Diana Clark;22;Female;Never-married;Other-service;51.21254::2.90576
Jonathan Wilson;45;Male;Married-civ-spouse;Other-service;50.39154::3.79532
Daniel Riggs;33;Male;Never-married;Adm-clerical;50.67772::4.37702
Jennifer Davis;57;Female;Separated;Sales;50.85823::3.31156
Joel Ward;38;Male;Married-civ-spouse;Exec-managerial;50.90468::4.35987
Charles Perez;40;Male;Married-civ-spouse;Craft-repair;49.70497::5.68024
Caroline Mcintyre;48;Female;Divorced;Handlers-cleaners;51.18136::3.23176
Christine Maldonado;38;Female;Married-spouse-absent;Exec-managerial;50.70957::5.62427
Jennifer Flores;26;Female;Never-married;Prof-specialty;50.78519::3.26274
Steven Peters;24;Male;Never-married;Machine-op-inspct;50.91896::5.68373
Linda Hernandez;35;Female;Married-spouse-absent;Other-service;51.29951::4.54253
Douglas Good;37;Male;Married-civ-spouse;Craft-repair;51.09864::5.49595
Jonathan Sutton;42;Male;Divorced;Machine-op-inspct;50.25086::4.42997
Jessica Peterson;37;Female;Married-civ-spouse;Adm-clerical;51.16894::4.44727
Alisha Campbell;37;Female;Never-married;Exec-managerial;50.60873::3.37981
Mario Smith;22;Male;Married-civ-spouse;Craft-repair;51.13450::2.71013
Donna Walton;24;Female;Never-married;Adm-clerical;51.33065::3.20297
James Johnson;45;Male;Married-civ-spouse;Adm-clerical;50.82615::4.44644
George Patton;29;Male;Never-married;Craft-repair;50.47993::5.63537
Jessica Martinez;23;Female;Never-married;Adm-clerical;50.76246::4.49556
Matthew Kennedy;24;Male;Never-married;Exec-managerial;50.64482::4.36617
Jessica Cox;25;Female;Never-married;Prof-specialty;50.60180::4.14723
Martha Crawford;58;Female;Divorced;Sales;51.33834::3.32033
Ricardo Hernandez;28;Male;Never-married;Sales;50.46406::3.96347
Mary Richardson;58;Female;Widowed;Sales;51.10334::3.98575
Ronald Rodriguez;18;Male;Never-married;Other-service;51.21003::4.41045
Tristan Anderson;59;Male;Married-civ-spouse;Protective-serv;51.06397::4.19124
Deanna Morgan;39;Female;Divorced;Adm-clerical;51.42698::4.45780
Eric Mcgee;53;Male;Married-civ-spouse;Sales;50.39126::5.93708
Alexandra Kennedy;54;Female;Never-married;Prof-specialty;51.20688::4.40889
Willie Alexander;51;Male;Married-civ-spouse;Transport-moving;51.21742::4.24564
Richard Brown;59;Male;Married-civ-spouse;Sales;51.06709::3.66689
William Huang DDS;42;Male;Never-married;Protective-serv;50.89419::3.43779
Emily Mckinney;36;Female;Married-civ-spouse;Adm-clerical;50.87148::4.70124
Marisa Hale;37;Female;Never-married;Adm-clerical;51.31762::3.13459
Dominic Acevedo;32;Male;Never-married;Handlers-cleaners;50.52417::5.19516
Mark Murray;38;Male;Married-civ-spouse;Tech-support;50.45550::4.24658
Amanda Russo;19;Female;Separated;Adm-clerical;50.59841::3.71554
Kelsey Kelly;55;Female;Widowed;Prof-specialty;50.86858::4.36723
Allen Rivera;30;Male;Never-married;Craft-repair;50.79287::4.34209
Johnny Tate;27;Male;Married-civ-spouse;Prof-specialty;50.86093::4.46880
Sandra Stewart;44;Female;Never-married;Exec-managerial;51.19793::4.41185
Joshua Mitchell;32;Male;Married-civ-spouse;Machine-op-inspct;50.83089::4.39944
Roberta Contreras;60;Female;Married-spouse-absent;Other-service;51.23263::4.27049
Joseph Andrews;28;Male;Never-married;Machine-op-inspct;50.49004::5.32611
Joseph Griffith;44;Male;Married-civ-spouse;Exec-managerial;50.60803::3.41101
Andres Riley;29;Male;Never-married;Handlers-cleaners;50.46801::4.03887
Tyler Simmons;57;Male;Married-civ-spouse;Craft-repair;50.80617::5.26035
Austin Morrison;41;Male;Divorced;Transport-moving;51.15996::3.01787
Matthew Anderson DVM;34;Male;Married-civ-spouse;Transport-moving;51.07348::5.08120
Stephanie Bennett;44;Female;Divorced;Exec-managerial;50.99211::3.73587
Nicholas Johnson;44;Male;Divorced;Transport-moving;51.24650::4.44769
Eric Turner;57;Male;Married-civ-spouse;Handlers-cleaners;50.68572::4.38050
Bryan Abbott;37;Male;Never-married;Prof-specialty;50.84963::5.49372
Chad Smith;35;Male;Married-civ-spouse;Prof-specialty;50.69049::3.80044
Matthew Wagner;27;Male;Never-married;Exec-managerial;51.21244::4.40871
Patricia Bridges;41;Female;Married-civ-spouse;Adm-clerical;50.84490::4.90999
Aaron Hanson;37;Male;Married-civ-spouse;Prof-specialty;50.62611::4.64273
Dylan Young;18;Male;Never-married;Other-service;50.93267::5.32635
Brittany Johnson;24;Female;Never-married;Tech-support;50.43294::3.79844
Mary Rivera;53;Female;Married-civ-spouse;Adm-clerical;50.41336::4.44512
Charles Anderson;40;Male;Divorced;Machine-op-inspct;51.18238::4.16218
Scott Price;54;Male;Divorced;Machine-op-inspct;50.79725::4.41336
Courtney Rodriguez;22;Female;Never-married;Prof-specialty;50.71179::4.46795
Karen Pena;44;Female;Married-spouse-absent;Adm-clerical;50.83078::4.40336
Amber Henry;43;Female;Divorced;Exec-managerial;50.42484::4.82954
Heather Williams;58;Female;Married-civ-spouse;Prof-specialty;51.03055::3.66568
Jennifer Brown;59;Female;Married-civ-spouse;Prof-specialty;50.87308::4.84393
Aaron Patterson;31;Male;Married-civ-spouse;Exec-managerial;51.25586::4.45776
Bryan Roy;35;Male;Never-married;Machine-op-inspct;50.61933::5.49320
Terri Hester;17;Female;Never-married;Sales;50.87565::4.37689
Jennifer Kaiser;45;Female;Divorced;Prof-specialty;51.21316::3.20717
Johnny Benton;40;Male;Divorced;Handlers-cleaners;50.58996::5.51047
Patrick Pace;35;Male;Married-civ-spouse;Handlers-cleaners;50.85098::3.28858
David Lawrence;25;Male;Never-married;Tech-support;50.69524::5.72603
Timothy Bailey;58;Male;Divorced;Handlers-cleaners;51.19381::4.41620
Anthony Moore;39;Male;Divorced;Handlers-cleaners;51.09801::2.58252
James Valenzuela;23;Male;Married-civ-spouse;Exec-managerial;50.91374::4.10244
Angela Hernandez;32;Female;Never-married;Prof-specialty;51.00327::3.70458
Matthew Hunter;48;Male;Married-civ-spouse;Transport-moving;51.28053::3.06481
Robert Daniels;41;Male;Married-civ-spouse;Handlers-cleaners;51.00848::4.60328
Austin Martinez;43;Male;Married-civ-spouse;Prof-specialty;51.16037::4.97364
Mark Patel;18;Male;Never-married;Other-service;50.98925::3.50176
Anthony Singh;24;Male;Never-married;Armed-Forces;51.15664::4.20393
Shirley Kent;58;Female;Married-civ-spouse;Adm-clerical;50.36832::3.69465
Marvin Cardenas;54;Male;Married-civ-spouse;Prof-specialty;51.05429::4.63192
Zachary Diaz;60;Male;Married-civ-spouse;Craft-repair;50.55267::5.39969
Dr. Cody Wolf;28;Male;Married-civ-spouse;Farming-fishing;50.83579::5.02498
Michael Price;41;Male;Married-civ-spouse;Transport-moving;50.98342::3.56242
Jeremy Johnson;27;Male;Divorced;Adm-clerical;51.08803::3.95826
Andrea Olsen;30;Female;Divorced;Other-service;51.31887::4.92815
Bradley Gonzales;63;Male;Divorced;Craft-repair;51.22207::5.42333
Alexander Nguyen;33;Male;Never-married;Sales;50.83407::4.41222
Zachary Harris;34;Male;Married-civ-spouse;Transport-moving;51.01691::3.76472
John Parker DDS;51;Male;Married-civ-spouse;Protective-serv;51.46212::4.45237
Benjamin Mendoza;21;Male;Never-married;Other-service;50.86582::4.70062
Robert Hudson;50;Male;Married-civ-spouse;Craft-repair;50.85650::4.30628
Michael Hahn;43;Male;Married-civ-spouse;Machine-op-inspct;50.42545::4.41565
David Brennan;27;Male;Married-civ-spouse;Craft-repair;51.20623::4.46791
Kelsey Mata;19;Female;Never-married;Adm-clerical;51.22753::5.40732
Angela Stewart;17;Female;Never-married;Other-service;50.43087::4.61184
Perry Nelson;47;Male;Divorced;Transport-moving;51.32882::4.93157
Kayla Cuevas;25;Female;Never-married;Adm-clerical;50.57097::4.69729
Danielle Tate;71;Female;Never-married;Other-service;50.85007::4.31708
Andrea Bates;21;Female;Never-married;Machine-op-inspct;50.41094::3.82951
Eric Dunn;48;Male;Married-civ-spouse;Machine-op-inspct;50.39734::5.42010
Sherry Smith;57;Female;Widowed;Sales;50.46130::4.55820
Donald Garcia;58;Male;Married-civ-spouse;Farming-fishing;50.83203::4.39303
Ana Martin;34;Female;Married-civ-spouse;Machine-op-inspct;51.16562::4.45359
Brian Aguilar;40;Male;Never-married;Prof-specialty;50.92892::4.41113
Jeffrey Thomas;28;Male;Never-married;Other-service;51.21036::4.32485
Miguel Jennings;42;Male;Married-civ-spouse;Sales;50.40590::4.53638
Patricia Pace DDS;41;Female;Divorced;Tech-support;50.88183::4.47147
Jessica Cook;28;Female;Never-married;Adm-clerical;50.32511::5.53336
Kristie Smith;40;Female;Divorced;Machine-op-inspct;50.81851::5.14319
Jacob Reid;23;Male;Never-married;Machine-op-inspct;51.01321::5.57775
Michael Dougherty;39;Male;Never-married;Sales;50.88031::4.12005
Patrick Kelly;39;Male;Never-married;Sales;50.94850::4.68240
Anna Hubbard;45;Female;Never-married;Handlers-cleaners;51.35922::3.31558
Meghan Ford;50;Female;Divorced;Sales;50.88415::3.36189
Wayne Nash;33;Male;Married-civ-spouse;Adm-clerical;51.29694::3.07792
Kimberly Reyes;34;Female;Married-civ-spouse;Machine-op-inspct;50.87519::4.08993
Javier Horton;55;Male;Married-civ-spouse;Transport-moving;50.99846::3.75902
Melinda Chang;62;Female;Widowed;Adm-clerical;50.93374::4.04731
Shane Hill;31;Male;Married-civ-spouse;Sales;50.79341::3.18432
Jonathan Henderson;35;Male;Married-civ-spouse;Craft-repair;50.62401::5.52161
Christopher Pennington;30;Male;Separated;Craft-repair;51.13367::4.38943
Bryan Nichols;57;Male;Married-civ-spouse;Sales;50.65845::5.51742
Brian Perez;50;Male;Married-civ-spouse;Exec-managerial;50.77317::3.87629
Juan Ward;51;Male;Married-civ-spouse;Transport-moving;51.20570::4.04179
Peter Torres;47;Male;Married-civ-spouse;Sales;50.58739::5.46105
Harold Lopez;37;Male;Never-married;Prof-specialty;50.83644::5.51413
Thomas Ellison;58;Male;Married-civ-spouse;Transport-moving;50.55542::3.90032
Jennifer Haley;39;Female;Divorced;Exec-managerial;51.22643::4.43156
Robert Scott;34;Male;Never-married;Machine-op-inspct;51.00329::4.12938
Stephanie Allen;45;Female;Separated;Adm-clerical;51.32621::4.57221
Dominic Reeves;42;Male;Married-civ-spouse;Prof-specialty;50.58721::3.49394
Noah Wilson;40;Male;Divorced;Tech-support;50.94851::5.27264
Erik Black;39;Male;Married-civ-spouse;Prof-specialty;50.35733::4.36975
Kyle Moreno;36;Male;Married-civ-spouse;Prof-specialty;51.07238::5.20563
Beth Park;56;Female;Divorced;Adm-clerical;50.83734::3.22329
Erik Sullivan;37;Male;Married-civ-spouse;Handlers-cleaners;50.82768::4.39508
Daniel Bennett;60;Male;Married-civ-spouse;Other-service;51.05549::3.71666
Jeremy Gilbert;56;Male;Married-civ-spouse;Craft-repair;51.22400::2.90750
Jeremy Cline;51;Male;Married-civ-spouse;Exec-managerial;50.52229::5.24862
Kara Floyd;34;Female;Never-married;Prof-specialty;51.04211::5.58340
Joe Murray;19;Male;Never-married;Farming-fishing;50.83694::4.30972
Briana Jackson;37;Female;Never-married;Exec-managerial;51.00684::3.88044
Edward Daniels;58;Male;Married-civ-spouse;Exec-managerial;50.64212::5.56835
Patricia Mcgee;33;Female;Never-married;Adm-clerical;51.09450::3.76278
Henry Daniels;39;Male;Never-married;Exec-managerial;51.18687::3.58551
Carolyn Paul;36;Female;Never-married;Adm-clerical;50.46824::4.17879
Lindsay Wise;26;Female;Never-married;Prof-specialty;50.84434::4.44889
Deborah Brown;22;Female;Never-married;Tech-support;51.08755::5.11054
Mr. Joseph Bridges;32;Male;Never-married;Adm-clerical;50.83032::4.34530
William Chan;17;Male;Never-married;Sales;50.77609::4.33372
Kristin Hill;68;Female;Widowed;Other-service;50.42627::4.45569
Benjamin Moore;70;Male;Married-civ-spouse;Sales;51.21621::2.89788
James Jenkins;30;Male;Never-married;Farming-fishing;51.20607::4.25906
Shelley Allen;19;Female;Never-married;Adm-clerical;50.83543::2.87618
James Lopez;51;Male;Married-civ-spouse;Prof-specialty;50.92323::5.34444
Mark Russell;19;Male;Never-married;Adm-clerical;50.64685::5.59315
Steven Flores;47;Male;Married-civ-spouse;Craft-repair;50.60181::5.51233
Carlos Collins;41;Male;Married-civ-spouse;Prof-specialty;50.98298::3.69818
Michael Waters;36;Male;Married-civ-spouse;Machine-op-inspct;50.87115::4.66303
Philip Robinson;30;Male;Married-civ-spouse;Craft-repair;51.22019::4.28282
Nicholas Leonard;26;Male;Married-civ-spouse;Machine-op-inspct;51.31282::3.13018
Jordan Woodward;41;Male;Divorced;Prof-specialty;50.13721::5.78851
Douglas Jenkins;25;Male;Married-civ-spouse;Adm-clerical;50.83759::4.39820
Jeffrey Johnson;62;Male;Married-civ-spouse;Other-service;50.64228::5.60625
Wayne Odom;23;Male;Never-married;Prof-specialty;50.75754::4.38092
Rodney Watson;25;Male;Never-married;Sales;50.98925::3.64257
Kimberly Hayes;30;Female;Never-married;Sales;51.04631::3.53706
Steven Bush;48;Male;Never-married;Handlers-cleaners;51.31310::3.11765
Jose Morrow;20;Male;Never-married;Other-service;50.81263::4.31912
Amy Hall MD;51;Female;Married-civ-spouse;Exec-managerial;50.59205::5.85792
Jerry Maldonado;19;Male;Never-married;Handlers-cleaners;51.07414::3.74711
Timothy Guerra;31;Male;Never-married;Machine-op-inspct;50.87212::4.40555
Timothy Herman;36;Male;Married-civ-spouse;Exec-managerial;50.44833::3.90068
Jeffrey Douglas;40;Male;Never-married;Sales;50.46260::4.04379
Nicholas Tran;30;Male;Never-married;Farming-fishing;50.90541::3.89370
Logan Miller;28;Male;Never-married;Craft-repair;51.34752::4.86332
Michael Rodriguez;57;Male;Married-civ-spouse;Craft-repair;51.20112::3.23461
David Powell;18;Male;Never-married;Sales;50.86662::3.18057
Thomas Thomas;54;Male;Married-civ-spouse;Craft-repair;50.70462::4.52773
Dustin Duran;32;Male;Married-civ-spouse;Machine-op-inspct;50.85830::4.30534
Austin Walters;52;Male;Never-married;Prof-specialty;50.78755::4.74489
Holly Webb;27;Female;Separated;Machine-op-inspct;50.91879::4.05803
Robert Coleman;18;Male;Never-married;Other-service;51.10257::3.02741
Christopher Price;37;Male;Never-married;Craft-repair;50.67181::5.64935
Leonard Nguyen;52;Male;Married-civ-spouse;Machine-op-inspct;51.12859::5.68103
Ricky Powers;59;Male;Never-married;Other-service;51.11598::4.04176
William Johnson;27;Male;Never-married;Machine-op-inspct;51.16863::4.50418
Adam Gordon;43;Male;Married-civ-spouse;Machine-op-inspct;50.64672::5.55564
Joel Chen;56;Male;Married-civ-spouse;Craft-repair;51.09635::4.87291
Andrew Waters;44;Male;Married-civ-spouse;Farming-fishing;51.05133::3.75722
Mr. Charles Townsend DDS;37;Male;Never-married;Craft-repair;50.62896::5.56999
Ronald Young;28;Male;Divorced;Exec-managerial;50.85187::4.35255
Heather Keller;48;Female;Separated;Other-service;51.18265::4.91053
Roger Jones;58;Male;Married-civ-spouse;Exec-managerial;50.46913::3.90573
Eric Simmons;29;Male;Married-civ-spouse;Craft-repair;51.30393::4.73568
Robert Johnson;37;Male;Married-civ-spouse;Sales;50.75313::4.52334
Brian Rose;35;Male;Married-civ-spouse;Prof-specialty;50.90628::3.12479
Kevin Chavez;36;Male;Divorced;Craft-repair;50.95385::4.09928
Jonathan Stevenson;52;Male;Married-civ-spouse;Adm-clerical;50.94765::5.11397
Derrick Lee;30;Male;Divorced;Transport-moving;51.23194::4.38750
Aaron Martinez;22;Male;Never-married;Craft-repair;51.02477::5.47915
Charles Drake;55;Male;Married-civ-spouse;Sales;51.21274::2.92992
Elizabeth Grimes;61;Female;Married-civ-spouse;Exec-managerial;50.87458::3.32868
Cristian Mata;33;Male;Divorced;Handlers-cleaners;50.62686::5.56865
Preston Williams;46;Male;Married-civ-spouse;Sales;51.10960::4.91626
Kimberly Fields;64;Female;Widowed;Tech-support;50.61975::5.69621
Drew Chavez;28;Male;Married-spouse-absent;Craft-repair;50.50398::4.48653
Melissa Williams;19;Female;Never-married;Adm-clerical;50.63819::4.37652
Justin Robinson;36;Male;Separated;Adm-clerical;51.33972::3.23787
Joseph Harris;43;Male;Married-civ-spouse;Craft-repair;50.71424::5.46214
Philip Williams;56;Male;Married-civ-spouse;Exec-managerial;50.58584::4.06301
Christopher Graves;24;Male;Never-married;Protective-serv;51.29379::4.57607
Timothy Meyers;40;Male;Married-civ-spouse;Sales;50.87506::4.34392
Jonathan Cox;45;Male;Married-civ-spouse;Exec-managerial;51.17352::3.77972
Lauren Golden;56;Female;Widowed;Prof-specialty;51.06643::3.71135
Bridget Smith;35;Female;Never-married;Prof-specialty;50.51736::5.91622
